--- StartTestVectorGpuSum Report ---
VectorGpu._size = 1000000
blocksNum; threadsNum; Status; Result; Time_mks
12; 6; 1; 1000; 994
12; 7; 1; 1000; 958
12; 8; 1; 1000; 922
12; 9; 1; 1000; 754
12; 10; 1; 1000; 754
12; 11; 1; 1000; 695
12; 12; 1; 1000; 687
12; 13; 1; 1000; 696
12; 14; 1; 1000; 649
12; 15; 1; 1000; 691
12; 16; 1; 1000; 680
12; 17; 1; 1000; 720
12; 18; 1; 1000; 844
12; 19; 1; 1000; 1356
12; 20; 1; 1000; 930
13; 1; 1; 1000; 3884
13; 2; 1; 1000; 2020
13; 3; 1; 1000; 1409
13; 4; 1; 1000; 1152
13; 5; 1; 1000; 988
13; 6; 1; 1000; 858
13; 7; 1; 1000; 809
13; 8; 1; 1000; 768
13; 9; 1; 1000; 731
13; 10; 1; 1000; 777
13; 11; 1; 1000; 1333
13; 12; 1; 1000; 1463
13; 13; 1; 1000; 802
13; 14; 1; 1000; 756
13; 15; 1; 1000; 686
13; 16; 1; 1000; 757
13; 17; 1; 1000; 711
13; 18; 1; 1000; 775
13; 19; 1; 1000; 817
13; 20; 1; 1000; 780
14; 1; 1; 1000; 3534
14; 2; 1; 1000; 2010
14; 3; 1; 1000; 1558
14; 4; 1; 1000; 1208
14; 5; 1; 1000; 927
14; 6; 1; 1000; 796
14; 7; 1; 1000; 730
14; 8; 1; 1000; 685
14; 9; 1; 1000; 622
14; 10; 1; 1000; 679
14; 11; 1; 1000; 701
14; 12; 1; 1000; 659
14; 13; 1; 1000; 723
14; 14; 1; 1000; 703
14; 15; 1; 1000; 719
14; 16; 1; 1000; 688
14; 17; 1; 1000; 761
14; 18; 1; 1000; 713
14; 19; 1; 1000; 950
14; 20; 1; 1000; 1653
15; 1; 1; 1000; 3291
15; 2; 1; 1000; 1744
15; 3; 1; 1000; 1259
15; 4; 1; 1000; 1013
15; 5; 1; 1000; 866
15; 6; 1; 1000; 791
15; 7; 1; 1000; 780
15; 8; 1; 1000; 732
15; 9; 1; 1000; 724
15; 10; 1; 1000; 744
15; 11; 1; 1000; 1836
15; 12; 1; 1000; 836
15; 13; 1; 1000; 705
15; 14; 1; 1000; 885
15; 15; 1; 1000; 1157
15; 16; 1; 1000; 894
15; 17; 1; 1000; 748
15; 18; 1; 1000; 748
15; 19; 1; 1000; 741
15; 20; 1; 1000; 782
16; 1; 1; 1000; 3186
16; 2; 1; 1000; 1763
16; 3; 1; 1000; 1315
